04.09.2018:W19:1:Andrea Diaksova:BUL::27'02:6:110
04.09.2018:W19:2:Evangelina Diaksova:BUL::30'56:6:111
04.09.2018:W19:3:Maria Deptulska:POL:SP2KMH:31'41:6:272
04.09.2018:W19:4:Liudmyla Smyk:UKR::33'00:6:344
04.09.2018:W19:5:Melnikova Nadezda:RUS::33'01:6:293
04.09.2018:W19:6:Anna Chmelařová:CZE::33'16:6:118
04.09.2018:W19:7:Anna Sobotková:CZE::33'26:6:117
04.09.2018:W19:8:Justýna Bouchalová:CZE::34'55:6:119
04.09.2018:W19:9:Libov Lebedeva:RUS::35'28:6:294
04.09.2018:W19:10:Yana Petrovska:UKR::35'32:6:346
04.09.2018:W19:11:Daniela Burci:ROM::35'35:6:280
04.09.2018:W19:12:Denise Mija:ROM::37'01:6:282
04.09.2018:W19:13:Valentina Marcu:ROM::37'35:6:281
04.09.2018:W19:14:Abdullina Ekaterina:RUS::40'20:6:292
04.09.2018:W19:15:Zuzana Buksova:SVK::42'00:6:329
04.09.2018:W19:16:Sophia Christin Lilgova:SVK::42'09:6:331
04.09.2018:W19:17:Yi Xu:MAC::42'31:6:248
04.09.2018:W19:18:Mariia Puhach:UKR::42'58:6:345
04.09.2018:W19:19:Barbora Daniela Filova:SVK::43'48:6:330
04.09.2018:W19:20:Ziyu Huang:MAC::45'09:6:246
04.09.2018:W19:21:Sonomi Fukuoka:JPN:JA7-311:49'53:6:205
04.09.2018:W19:22:Ye Ryeong Choi:KOR:DS1THM:55'19:6:229
04.09.2018:W19:23:Wiśniewska Kamila:POL::55'21:6:274
04.09.2018:W19:24:Xiaolei Liu:HKG::55'50:6:169
04.09.2018:W19:25:Yibing Chen:HKG::58'05:6:168
04.09.2018:W19:26:Yuanzheng Qiu:MAC::60'43:6:247
04.09.2018:W19:27:Ying Huang:CHN::61'37:6:393
04.09.2018:W19:28:Miaoyang Zhang:HKG::61'44:6:379
04.09.2018:W19:29:Ryoko Tokumitsu:JPN:JA1-436:66'07:6:207
04.09.2018:W19:30:Otgonzaya Tumurchudur:MGL::70'05:6:249
04.09.2018:W19:31:Hina Narita:JPN:JA7-311:89'09:6:206
04.09.2018:W19:32:Yi Shang:CHN::94'55:6:392
04.09.2018:W19:33:Pietrzykowska Dorota:POL::126'35:6:273
04.09.2018:W19:34:Su Ah Bae:KOR:DS1THJ:82'02:5:228
04.09.2018:W21:1:Dianora Herashchenko:GER::26'52:7:159
04.09.2018:W21:2:Giklova Natalia:RUS::27'36:7:295
04.09.2018:W21:3:Alžběta Léharová:CZE::27'59:7:121
04.09.2018:W21:4:Antoaneta Diaksova:BUL::29'21:7:112
04.09.2018:W21:5:Oleksandra Parkhomenko:UKR::30'37:7:348
04.09.2018:W21:6:Jana Macinska:SVK::31'03:7:333
04.09.2018:W21:7:Godunova Anastasiia:RUS::31'08:7:298
04.09.2018:W21:8:Kateřina Bžatková:CZE::33'02:7:122
04.09.2018:W21:9:Nakvose Nadezhda:RUS::33'43:7:296
04.09.2018:W21:10:Mariana Marynchenko:UKR::34'20:7:349
04.09.2018:W21:11:Jiamin Liang:CHN::36'19:7:397
04.09.2018:W21:12:Katarina Kosutova:SVK::36'35:7:332
04.09.2018:W21:13:Maria Mija:ROM::37'32:7:413
04.09.2018:W21:14:Lori Huberman:USA::37'44:7:375
04.09.2018:W21:15:Lubica Toporova:SVK::38'42:7:334
04.09.2018:W21:16:Kathrin Berse:GER::41'19:7:158
04.09.2018:W21:17:Eliška Kuncová:CZE::41'49:7:120
04.09.2018:W21:18:Panchuk Mariia:HKG::42'04:7:172
04.09.2018:W21:19:Hana Sokolović:CRO::44'41:7:114
04.09.2018:W21:20:Qiaojian Ye:HKG::50'45:7:378
04.09.2018:W21:21:Zhijun Chen:HKG::53'21:7:171
04.09.2018:W21:22:Jiawei Liu:CHN::56'12:7:396
04.09.2018:W21:23:Aidana Zharylkassyn:KAZ::56'23:7:387
04.09.2018:W21:24:Tingyu Zhang:CHN::59'14:7:398
04.09.2018:W21:25:Odgerel Tsengel:MGL::59'52:7:250
04.09.2018:W21:26:Arisa Sato:JPN:JP7QHB:60'00:7:209
04.09.2018:W21:27:Ninel Mejevaia:AUS::66'46:7:105
04.09.2018:W21:28:Maya Bando:JPN:JJ5GVX:66'50:7:208
04.09.2018:W21:29:Saltanat Nurymzhanova:KAZ::49'13:5:388
04.09.2018:W35:1:Agata Anna Kulicka:POL:SQ5AXK:28'53:6:275
04.09.2018:W35:2:Kolomnina Ekaterina:RUS::30'56:6:297
04.09.2018:W35:3:Golubeva Victoriia:RUS::31'16:6:313
04.09.2018:W35:4:Hana Fučíková:CZE::32'04:6:123
04.09.2018:W35:5:Platonova Irina:RUS::33'36:6:312
04.09.2018:W35:6:Szuromi Eva Skropne:HUN::46'55:6:179
04.09.2018:W35:7:Odonchimeg Shagdarjav:MGL::50'28:6:251
04.09.2018:W35:8:Asami Kusakabe:JPN:JR2TBR:54'04:6:210
04.09.2018:W35:9:Eliana Mija:ROM::57'59:6:284
04.09.2018:W35:10:Haixia Sun:CHN::58'49:6:403
04.09.2018:W35:11:Vita Daudaravičienė:LTU::59'54:6:241
04.09.2018:W35:12:Alla Mezhevaya:USA::61'17:6:376
04.09.2018:W35:13:Odmaa Luvsan:MGL::65'50:6:253
04.09.2018:W35:14:Badmaarag Baasanjav:MGL::70'35:6:252
04.09.2018:W35:15:Ramona Manea:ROM:YO7MAE:72'08:6:283
04.09.2018:W35:16:Shanxiu Yu:CHN::73'35:6:402
04.09.2018:W35:17:Haiyan Ye:CHN::129'37:6:404
04.09.2018:W35:18:Yu  Mi Kang:KOR:DS1TJZ:50'36:5:230
04.09.2018:W35:19:Sylke Höfner:GER:DG4AAN:71'26:5:160
04.09.2018:W35:20:Sun Yi Lee:KOR:DS1IYZ:84'39:3:231
04.09.2018:W35:21:Sang Rea Lee:KOR:DS1THK:108'34:3:232
04.09.2018:W50:1:Dagmar Skřivanová:CZE::38'19:5:125
04.09.2018:W50:2:Anna Maria Radics:HUN::41'32:5:180
04.09.2018:W50:3:Marcela Šrůtová:CZE::41'51:5:124
04.09.2018:W50:4:Brigitte Roethe:GER::49'05:5:162
04.09.2018:W50:5:Brigitte Drews:GER:DL7AFJ:51'02:5:161
04.09.2018:W50:6:Iakovleva Elena:RUS::61'29:5:314
04.09.2018:W50:7:Keli Deng:CHN::71'03:5:408
04.09.2018:W50:8:Bong Ki Kim:KOR:DS1HBM:81'51:5:233
04.09.2018:W50:9:Naomi Miwa:JPN:JA2-347:83'48:5:211
04.09.2018:W60:1:Eliška Voráčková:CZE::38'38:5:126
04.09.2018:W60:2:Piroska Laszlon Hornyai:HUN::39'39:5:181
04.09.2018:W60:3:Ruth Bromer:USA:WB4QZG:45'30:5:377
04.09.2018:W60:4:Karin Garpestad:NOR:LA8UW:48'20:5:263
04.09.2018:W60:5:Alexandra Látalová:CZE::53'31:5:127
04.09.2018:W60:6:Sang Ran Lee:KOR:DS1RUP:56'54:5:235
04.09.2018:W60:7:Jenelle Templeton:AUS:VK3FJTE:71'06:5:106
04.09.2018:W60:8:Gulieva Galina:RUS:UA3AIH:79'07:5:316
04.09.2018:W60:9:Hege Andersen:NOR::87'25:5:262
04.09.2018:W60:10:Yoshiko Yamagami:JPN:JQ1LCW:87'31:4:213
04.09.2018:W60:11:Shi Lee Bang:KOR:HL4GWK:51'59:3:234
04.09.2018:W60:12:Kazue Kai:JPN:JK6XEY:51'26:2:212
04.09.2018:M19:1:Martin Kinc:CZE::25'01:7:128
04.09.2018:M19:2:Ivanov Nikita:RUS::25'48:7:288
04.09.2018:M19:3:Dmytro Ishchenko:UKR::25'52:7:352
04.09.2018:M19:4:Dmytro Denysenko:UKR::27'10:7:353
04.09.2018:M19:5:Fedir Karpovych:UKR::27'12:7:351
04.09.2018:M19:6:Kotov Vyacheslav:RUS::29'00:7:291
04.09.2018:M19:7:Dominik Šrom:CZE::29'47:7:130
04.09.2018:M19:8:Kovalev Timofei:RUS::31'32:7:289
04.09.2018:M19:9:Tomáš David:CZE::31'44:7:129
04.09.2018:M19:10:Tomas Jurcik:SVK::35'41:7:323
04.09.2018:M19:11:Lukas Racko:SVK::36'18:7:325
04.09.2018:M19:12:Teodor Sandu:ROM::38'17:7:277
04.09.2018:M19:13:Tsenko Tsenkov:BUL::38'37:7:107
04.09.2018:M19:14:Yakun Liu:CHN::40'47:7:390
04.09.2018:M19:15:Andrey Semenov:KAZ::44'07:7:385
04.09.2018:M19:16:Tiberiu Mija:ROM::44'49:7:278
04.09.2018:M19:17:Simon Zöller:GER::48'41:7:146
04.09.2018:M19:18:Tomislav Haring:SLO:S55TH:48'51:7:317
04.09.2018:M19:19:Mizuki Taniguchi:JPN:JJ1CBS:53'32:7:189
04.09.2018:M19:20:Weiyan Guan:MAC::61'41:7:242
04.09.2018:M19:21:Michal Nosal:SVK::62'02:7:324
04.09.2018:M19:22:Peihong Hao:CHN::70'02:7:391
04.09.2018:M19:23:Simen Olsen:NOR::75'02:7:257
04.09.2018:M19:24:Zhuoyao Luo:MAC::91'03:7:243
04.09.2018:M19:25:Hiro Ambo:JPN:JA7-311:104'54:7:187
04.09.2018:M19:26:Hibiki Nemoto:JPN:JI1MDV:136'57:7:188
04.09.2018:M19:27:Dinmukhammed Seiitkul:KAZ::53'30:6:386
04.09.2018:M19:28:Yuhui Wang:CHN::94'32:6:389
04.09.2018:M19:29:Yifeng Yao:MAC::82'21:5:244
04.09.2018:M19:DSQ:Matei Chivulescu:ROM::71'34:7:276
04.09.2018:M21:1:Ivan Sirakov:BUL::35'29:9:108
04.09.2018:M21:2:Rodionov Bogdan:RUS::36'36:9:285
04.09.2018:M21:3:Oleksii Ivanko:UKR::38'24:9:354
04.09.2018:M21:4:Jakub Oma:CZE::38'45:9:131
04.09.2018:M21:5:Oleksandr Marchuk:UKR::41'20:9:356
04.09.2018:M21:6:Tomáš Hikl:CZE::42'56:9:132
04.09.2018:M21:7:Raykov Alexandr:RUS::43'21:9:287
04.09.2018:M21:8:Ondřej Šimáček:CZE::43'39:9:133
04.09.2018:M21:9:Alexander Hergert:GER:DE1ADH:48'06:9:148
04.09.2018:M21:10:Patryk Niedźwiecki:POL::49'49:9:266
04.09.2018:M21:11:Godunov Eduard:RUS::50'37:9:299
04.09.2018:M21:12:Michael Gutmann:GER::50'49:9:147
04.09.2018:M21:13:Jan Cuninka:SVK::52'15:9:326
04.09.2018:M21:14:Niko Gaberc:SLO:S56SON:56'33:9:318
04.09.2018:M21:15:Ralph Körner:GER::56'57:9:149
04.09.2018:M21:16:Martin Kosut:SVK::57'53:9:327
04.09.2018:M21:17:Olekcandr Belikov:UKR::60'33:9:358
04.09.2018:M21:18:Jan Grosman:POL::63'05:9:265
04.09.2018:M21:19:Kęstutis Ruzgis:LTU::63'15:9:236
04.09.2018:M21:20:Eduard Nasybulin:USA::64'41:9:367
04.09.2018:M21:21:Peter Viskup:SVK::65'59:9:328
04.09.2018:M21:22:Mitja Štrman:SLO:S56PPO:75'25:9:319
04.09.2018:M21:23:Gabor Szabo:HUN::78'13:9:173
04.09.2018:M21:24:Kristian Ruuska:AUS:VK3FDAC:79'18:9:101
04.09.2018:M21:25:Yi Zhou:CHN::82'58:9:395
04.09.2018:M21:26:Aidos Meldebek:KAZ::88'25:9:384
04.09.2018:M21:27:Shuichi Ogura:JPN:JH4EIY:91'44:9:192
04.09.2018:M21:28:Guang Yang:CHN::93'35:9:394
04.09.2018:M21:29:Janne Toivola:FIN:OH2GXN:103'00:9:143
04.09.2018:M21:30:Munkhbaatar Mijiddorj:MGL::103'02:9:415
04.09.2018:M21:31:Mingxuan Dai:HKG::109'17:8:166
04.09.2018:M21:32:Young Wook Kim:KOR:HL4CUP:62'54:6:215
04.09.2018:M21:33:Sherkhan Korkimbay:KAZ::127'19:6:383
04.09.2018:M21:34:Byamba-Erdene Saintur:MGL::139'47:6:254
04.09.2018:M21:35:Munkh-Erdene Natsag:MGL::91'30:5:414
04.09.2018:M21:36:Seong Jin Park:KOR::30'41:4:217
04.09.2018:M21:37:Xidong Li:HKG::52'23:4:167
04.09.2018:M21:38:Sung Soo Lim:KOR:D70KA:54'39:4:216
04.09.2018:M21:39:Hideyasu Bando:JPN:JR5PVC:100'14:2:190
04.09.2018:M21:- :Junyan Chen:HKG::DNF::165
04.09.2018:M21:DSQ:Nobuyuki Miyoshi:JPN:JH5LYW:113'10:8:191
04.09.2018:M40:1:Sergii Shtanko:UKR::36'22:7:355
04.09.2018:M40:2:Sergey Cherniavsky:GER::41'02:7:150
04.09.2018:M40:3:Mihaly Mucsi:HUN::41'44:7:174
04.09.2018:M40:4:Antonín Šindelka:CZE::42'21:7:135
04.09.2018:M40:5:Volodymyr Gniedov:UKR::44'18:7:357
04.09.2018:M40:6:Kai Pastor:GER:DG0YT:52'17:7:151
04.09.2018:M40:7:Goncharov Alekseii:RUS::60'35:7:307
04.09.2018:M40:8:Michal Klíž:CZE::67'54:7:134
04.09.2018:M40:9:Robert Skrop:HUN::71'02:7:175
04.09.2018:M40:10:Kenneth Harker:USA:WM5R:71'18:7:369
04.09.2018:M40:11:Magnus Öberg:SWE:SA5MOG:71'44:7:335
04.09.2018:M40:12:Kruchinin Eduard:RUS::72'52:7:303
04.09.2018:M40:13:Guangwu Qian:CHN::81'02:7:401
04.09.2018:M40:14:Petri Kirves:FIN:OH2KHX:85'15:7:144
04.09.2018:M40:15:Antti Lukats:EST::91'39:7:139
04.09.2018:M40:16:Tomomichi Ishikawa:JPN:JL2THY:97'46:7:193
04.09.2018:M40:17:Qimu Yuan:CHN::127'14:7:399
04.09.2018:M40:18:Jinsu Zhou:CHN::129'34:7:400
04.09.2018:M40:19:Joseph Burkhead:USA::29'32:6:368
04.09.2018:M40:20:Yun Gi Kim:KOR:DS1HVZ:33'00:6:218
04.09.2018:M40:21:Andrej Žnidarič:SLO:S56LLB:40'43:6:320
04.09.2018:M40:22:Yoshifumi Kikuichi:JPN:JF3KRL:49'05:6:194
04.09.2018:M40:23:Ganbat Dorjjugder:MGL::68'32:6:256
04.09.2018:M40:24:Toshiyuki Saito:JPN:JN2LPL:73'30:6:195
04.09.2018:M40:25:Elbegbayar Borkhuu:MGL::111'08:6:255
04.09.2018:M40:26:Dariusz Wiśniewski:POL::41'33:4:268
04.09.2018:M40:- :Chan Six Sin:KOR:DS1EMC:161'39::220
04.09.2018:M40:- :Marek Kubisiak:POL::DNF::267
04.09.2018:M40:DSQ:Chong Kyoung Park:KOR:DS1MFC:70'59:7:219
04.09.2018:M40:DSQ:Iurii Davydenko:UKR::57'14:7:360
04.09.2018:M40:DSQ:Korolev Dmitrii:RUS::63'49:7:301
04.09.2018:M40:DSQ:Kimmo Lehtosaari:FIN:OH2JKU:85'28:7:145
04.09.2018:M50:1:Romanov Viktor:RUS::25'55:6:302
04.09.2018:M50:2:Jon Sletvold:NOR:LA9NGA:29'14:6:259
04.09.2018:M50:3:Jiří Mareček:CZE:OK2BWN:29'44:6:136
04.09.2018:M50:4:Burda Yurii:RUS:R1MQ:30'15:6:304
04.09.2018:M50:5:Sergii Zelenskyi:UKR::30'56:6:343
04.09.2018:M50:6:Vadim Afonkin:USA::32'52:6:370
04.09.2018:M50:7:Burgonutdinov Albert:RUS::33'43:6:305
04.09.2018:M50:8:Rimantas Basys:LTU::33'47:6:237
04.09.2018:M50:9:Andres Viira:EST::33'52:6:142
04.09.2018:M50:10:Robin Bishop:GBR:RS21344:34'16:6:163
